iter	Passed	Remaining
666	869	433
667	870	432
668	871	430
669	871	429
670	872	428
671	873	426
672	874	425
673	875	423
674	876	422
675	877	420
676	878	419
677	879	417
678	880	416
679	881	415
680	883	413
681	884	412
682	884	410
683	885	409
684	886	407
685	887	406
686	888	404
687	889	403
688	890	402
689	891	400
690	892	399
691	893	397
692	894	396
693	895	394
694	896	393
695	898	392
696	899	390
697	900	389
698	901	388
699	902	386
700	903	385
701	904	383
702	905	382
703	906	380
704	907	379
705	907	377
706	908	376
707	909	375
708	910	373
709	911	372
710	912	370
711	913	369
712	914	368
713	915	366
714	916	365
715	917	363
716	918	362
717	919	361
718	920	359
719	920	358
720	921	356
721	922	355
722	923	353
723	924	352
724	925	351
725	926	349
726	928	348
727	929	347
728	930	345
729	931	344
730	932	343
731	933	341
732	934	340
733	935	339
734	936	337
735	937	336
736	938	334
737	939	333
738	940	332
739	941	330
740	942	329
741	943	328
742	945	326
743	946	325
744	947	324
745	947	322
746	948	321
747	949	319
748	950	318
749	951	317
750	952	315
751	953	314
752	954	312
753	955	311
754	956	310
755	957	309
756	958	307
757	959	306
758	960	305
759	961	303
760	962	302
761	963	300
762	964	299
763	965	298
764	966	296
765	967	295
766	968	294
767	969	292
768	970	291
769	971	290
770	973	289
771	974	287
772	975	286
773	976	285
774	977	283
775	978	282
776	980	281
777	981	279
778	982	278
779	983	277
780	984	275
781	985	274
782	986	273
783	987	271
784	988	270
785	989	269
786	990	268
787	991	266
788	992	265
789	993	264
790	994	262
791	995	261
792	996	260
793	997	258
794	998	257
795	998	256
796	999	254
797	1000	253
798	1002	252
799	1005	251
800	1006	250
801	1007	248
802	1008	247
803	1009	246
804	1010	244
805	1010	243
806	1011	242
807	1012	240
808	1013	239
809	1014	238
810	1015	236
811	1016	235
812	1018	234
813	1019	232
814	1020	231
815	1021	230
816	1022	229
817	1023	227
818	1024	226
819	1026	225
820	1026	223
821	1027	222
822	1029	221
823	1029	219
824	1031	218
825	1031	217
826	1032	216
827	1033	214
828	1034	213
829	1035	212
830	1035	210
831	1036	209
832	1037	208
833	1038	206
834	1039	205
835	1040	204
836	1041	202
837	1042	201
838	1043	200
839	1044	198
840	1045	197
841	1046	196
842	1047	195
843	1049	193
844	1050	192
845	1051	191
846	1051	189
847	1052	188
848	1053	187
849	1054	186
850	1054	184
851	1055	183
852	1056	182
853	1057	180
854	1058	179
855	1059	178
856	1060	177
857	1061	175
858	1062	174
859	1064	173
860	1065	172
861	1066	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	161
869	1075	160
870	1076	159
871	1077	158
872	1078	156
873	1080	155
874	1081	154
875	1082	153
876	1083	151
877	1084	150
878	1085	149
879	1085	148
880	1086	146
881	1087	145
882	1088	144
883	1090	143
884	1091	141
885	1092	140
886	1094	139
887	1095	138
888	1097	137
889	1099	135
890	1100	134
891	1101	133
892	1102	132
893	1103	130
894	1104	129
895	1106	128
896	1107	127
897	1108	125
898	1110	124
899	1114	123
900	1115	122
901	1117	121
902	1118	120
903	1120	118
904	1121	117
905	1121	116
906	1122	115
907	1125	113
908	1125	112
909	1126	111
910	1127	110
911	1128	108
912	1129	107
913	1130	106
914	1131	105
915	1132	103
916	1133	102
917	1134	101
918	1135	100
919	1136	98
920	1137	97
921	1138	96
922	1139	95
923	1140	93
924	1142	92
925	1143	91
926	1144	90
927	1144	88
928	1145	87
929	1146	86
930	1147	85
931	1148	83
932	1149	82
933	1150	81
934	1151	80
935	1152	78
936	1153	77
937	1155	76
938	1156	75
939	1157	73
940	1158	72
941	1159	71
942	1160	70
943	1161	68
944	1163	67
945	1164	66
946	1165	65
947	1165	63
948	1166	62
949	1167	61
950	1168	60
951	1169	58
952	1170	57
953	1171	56
954	1173	55
955	1174	54
956	1175	52
957	1175	51
958	1176	50
959	1177	49
960	1178	47
961	1179	46
962	1180	45
963	1181	44
964	1182	42
965	1183	41
966	1184	40
967	1185	39
968	1186	37
969	1187	36
970	1189	35
971	1190	34
972	1190	33
973	1191	31
974	1192	30
975	1193	29
976	1193	28
977	1194	26
978	1195	25
979	1196	24
980	1197	23
981	1198	21
982	1199	20
983	1200	19
984	1201	18
985	1202	17
986	1203	15
987	1204	14
988	1204	13
989	1205	12
990	1206	10
991	1207	9
992	1208	8
993	1209	7
994	1210	6
995	1211	4
996	1212	3
997	1214	2
998	1215	1
999	1216	0
